2017-06-09 13:56:41,438: INFO: running resume_train.py -finetune ../model/onlyreview_douban_movie.tsv.processed.simpleCh.wordbreak.removewordsize300window5sg1min_count100negative10iter25.model -train ../data/onlyreview_douban_movie.tsv.processed.simpleCh.wordbreak.removeword
2017-06-09 13:56:41,438: INFO: loading Word2Vec object from ../model/onlyreview_douban_movie.tsv.processed.simpleCh.wordbreak.removewordsize300window5sg1min_count100negative10iter25.model
2017-06-09 13:56:41,672: INFO: loading wv recursively from ../model/onlyreview_douban_movie.tsv.processed.simpleCh.wordbreak.removewordsize300window5sg1min_count100negative10iter25.model.wv.* with mmap=None
2017-06-09 13:56:41,672: INFO: loading syn0 from ../model/onlyreview_douban_movie.tsv.processed.simpleCh.wordbreak.removewordsize300window5sg1min_count100negative10iter25.model.wv.syn0.npy with mmap=None
2017-06-09 13:56:41,716: INFO: setting ignored attribute syn0norm to None
2017-06-09 13:56:41,716: INFO: loading syn1neg from ../model/onlyreview_douban_movie.tsv.processed.simpleCh.wordbreak.removewordsize300window5sg1min_count100negative10iter25.model.syn1neg.npy with mmap=None
2017-06-09 13:56:41,754: INFO: setting ignored attribute cum_table to None
2017-06-09 13:56:41,754: INFO: loaded ../model/onlyreview_douban_movie.tsv.processed.simpleCh.wordbreak.removewordsize300window5sg1min_count100negative10iter25.model
2017-06-09 13:56:41,954: INFO: training model with 12 workers on 84043 vocabulary and 300 features, using sg=1 hs=0 sample=0.001 negative=10 window=5
2017-06-09 13:57:41,773: INFO: PROGRESS: at 0.38% examples, 437160 words/s, in_qsize 23, out_qsize 0
2017-06-09 13:57:42,787: INFO: PROGRESS: at 0.38% examples, 437375 words/s, in_qsize 24, out_qsize 0
2017-06-09 13:57:43,804: INFO: PROGRESS: at 0.39% examples, 437080 words/s, in_qsize 23, out_qsize 0
2017-06-09 13:57:44,821: INFO: PROGRESS: at 0.39% examples, 437303 words/s, in_qsize 23, out_qsize 0
2017-06-09 13:57:45,844: INFO: PROGRESS: at 0.40% examples, 437290 words/s, in_qsize 23, out_qsize 0
2017-06-09 13:57:46,847: INFO: PROGRESS: at 0.41% examples, 437490 words/s, in_qsize 23, out_qsize 0
2017-06-09 13:57:47,870: INFO: PROGRESS: at 0.41% examples, 437597 words/s, in_qsize 23, out_qsize 0
2017-06-09 13:57:48,874: INFO: PROGRESS: at 0.42% examples, 437902 words/s, in_qsize 23, out_qsize 0
2017-06-09 13:57:49,874: INFO: PROGRESS: at 0.43% examples, 437575 words/s, in_qsize 23, out_qsize 0
2017-06-09 13:57:50,879: INFO: PROGRESS: at 0.43% examples, 437422 words/s, in_qsize 23, out_qsize 0
2017-06-09 13:57:51,884: INFO: PROGRESS: at 0.44% examples, 437700 words/s, in_qsize 22, out_qsize 1
2017-06-09 13:57:52,890: INFO: PROGRESS: at 0.45% examples, 437973 words/s, in_qsize 22, out_qsize 1
2017-06-09 13:57:53,891: INFO: PROGRESS: at 0.45% examples, 438083 words/s, in_qsize 23, out_qsize 0
2017-06-09 13:57:54,918: INFO: PROGRESS: at 0.46% examples, 438202 words/s, in_qsize 22, out_qsize 1
2017-06-09 13:57:55,926: INFO: PROGRESS: at 0.46% examples, 438458 words/s, in_qsize 23, out_qsize 0
2017-06-09 13:57:56,945: INFO: PROGRESS: at 0.47% examples, 438477 words/s, in_qsize 23, out_qsize 0
2017-06-09 13:57:57,945: INFO: PROGRESS: at 0.48% examples, 438650 words/s, in_qsize 23, out_qsize 0
2017-06-09 13:57:58,972: INFO: PROGRESS: at 0.48% examples, 438399 words/s, in_qsize 23, out_qsize 0
2017-06-09 13:57:59,993: INFO: PROGRESS: at 0.49% examples, 438530 words/s, in_qsize 24, out_qsize 0
2017-06-09 13:58:01,009: INFO: PROGRESS: at 0.50% examples, 438627 words/s, in_qsize 23, out_qsize 0
2017-06-09 13:58:02,031: INFO: PROGRESS: at 0.50% examples, 438723 words/s, in_qsize 23, out_qsize 0
2017-06-09 13:58:03,037: INFO: PROGRESS: at 0.51% examples, 438785 words/s, in_qsize 22, out_qsize 1
2017-06-09 13:58:04,038: INFO: PROGRESS: at 0.51% examples, 439026 words/s, in_qsize 23, out_qsize 0
